"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PHJJKLOP_00598",3.24086581603451,5.74886585894765,3.91598753148488,1.46805009278663,0.142090616552759,0.807488305515627
"PHJJKLOP_00937",3.24086581603451,5.74886585894765,3.91598753148488,1.46805009278663,0.142090616552759,0.807488305515627
"PHJJKLOP_01317",3.42608812348835,5.76204992787219,3.89306102027131,1.48008209937347,0.138851338088032,0.807488305515627
"PHJJKLOP_01506",3.01894074954083,-4.27048817114986,2.91074941736212,-1.46714387218533,0.142336921650212,0.807488305515627
"PHJJKLOP_01612",3.24086581603451,5.74886585894765,3.91598753148488,1.46805009278663,0.142090616552759,0.807488305515627
"PHJJKLOP_02631",21.2542467906689,3.66921432922066,2.49641275820944,1.46979473532751,0.141617355459244,0.807488305515627
"PHJJKLOP_02634",3.41063514999038,-5.78226851966838,3.91530193363539,-1.47683847061559,0.139718941515204,0.807488305515627
"PHJJKLOP_01047",3.34063376253607,-5.68606492622694,3.89821124263397,-1.45863437672119,0.144665766670458,0.813665691848117
"PHJJKLOP_02184",99.1998640585839,-2.57418904905762,1.76742468327333,-1.45646322212165,0.145264609392093,0.813665691848117
"PHJJKLOP_00102",5.93644976911921,5.64932773564587,3.91383111616142,1.44342654753754,0.148900350154538,0.816929592587566
"PHJJKLOP_00454",52.0463133991338,-3.05612216113707,2.17732226925398,-1.40361498354775,0.16043353086732,0.816929592587566
"PHJJKLOP_00581",3.08057368386228,-5.63542553377635,3.91621681076098,-1.43899732984428,0.150151279282024,0.816929592587566
"PHJJKLOP_00616",2.80875037389657,5.54251119061621,3.91740723872887,1.41484171873197,0.157114909134565,0.816929592587566
"PHJJKLOP_00746",2.70072151336209,5.48595618303078,3.91783301043333,1.40025268264918,0.161437664785253,0.816929592587566
"PHJJKLOP_00851",11.2375559513038,-4.51703449107748,3.24697004941259,-1.39115372865686,0.164178815111553,0.816929592587566
"PHJJKLOP_01117",4.55817445465388,5.00372709113652,3.58924739055325,1.3940881044606,0.16329100088918,0.816929592587566
"PHJJKLOP_01140",2.86053270644354,-5.52850855799473,3.9169438658004,-1.4114342067205,0.158116622689448,0.816929592587566
"PHJJKLOP_01164",50.4925900100756,4.30382914924888,2.97956280872384,1.44444988259611,0.148612467730175,0.816929592587566
"PHJJKLOP_01368",2.91677923443105,5.59693231099785,3.91701294879364,1.42887766371096,0.153039398365906,0.816929592587566
"PHJJKLOP_01637",4.22158113434739,-5.53362800934551,3.91690781399511,-1.41275421126171,0.157728005741871,0.816929592587566
"PHJJKLOP_01811",2.5926926528276,5.42709368065272,3.91829418654284,1.38506539383688,0.166032472432186,0.816929592587566
"PHJJKLOP_01831",3.49293019261418,5.4270593857787,3.91829418651034,1.38505664134731,0.166035148503572,0.816929592587566
"PHJJKLOP_01848",2.64049172902481,-5.41302917009314,3.91779192073591,-1.3816530534568,0.167078255659152,0.816929592587566
"PHJJKLOP_02160",2.80875037389657,5.54251119061621,3.91740723872887,1.41484171873197,0.157114909134565,0.816929592587566
"PHJJKLOP_02162",2.91677923443105,5.59693231099785,3.91701294879364,1.42887766371096,0.153039398365906,0.816929592587566
"PHJJKLOP_02247",2.18482501625155,-5.04642685917645,3.62117793860218,-1.39358709920906,0.16344232645944,0.816929592587566
