"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PHJJKLOP_01778",1945.4597072987,-2.6717585887036,0.0752096366502977,-35.5241523254058,2.08337970034428e-276,3.19878913991321e-275
"PHJJKLOP_01001",919.813279633228,-4.19281405959622,0.118674009061762,-35.3305167049183,1.99708197723816e-273,3.05064461216891e-272
"PHJJKLOP_02291",9941.89504321294,7.27767931879451,0.206851671321315,35.1830820234933,3.62830988113754e-271,5.51429430666284e-270
"PHJJKLOP_03008",4334.68994821947,2.61201872397321,0.0745181793531539,35.052100663845,3.62215948735107e-269,5.47714419450964e-268
"PHJJKLOP_02168",770.169622228339,5.03933910459386,0.144012345702855,34.9924104075888,2.93490266966899e-268,4.4156274336628e-267
"PHJJKLOP_02499",2933.34119499213,2.62758344839227,0.075660380772713,34.7286574764359,2.91088019809032e-264,4.35758765654121e-263
"PHJJKLOP_02180",2985.84358924947,-2.32446001994752,0.0669350643397172,-34.7270902460051,3.07383861608092e-264,4.57864319231158e-263
"PHJJKLOP_02400",1655.36912959894,2.59293958207455,0.0748052029702235,34.6625566019343,2.88978584283387e-263,4.28317763041812e-262
"PHJJKLOP_02208",19757.0418440562,-1.83500800929257,0.0529829627608851,-34.633925957936,7.79910364724761e-263,1.15027173989455e-261
"PHJJKLOP_01318",13100.309992558,-2.15686616470333,0.0623363492274137,-34.6004568993078,2.48679256383558e-262,3.64973379221752e-261
"PHJJKLOP_02131",3989.58591102178,-2.15995093093113,0.062558788633292,-34.5267384186795,3.18519606334236e-261,4.65194000665708e-260
"PHJJKLOP_00304",8219.02629926048,2.37183522485699,0.0692292835930163,34.2605773418151,3.03482016417383e-257,4.41080173375555e-256
"PHJJKLOP_00051",6667.42736591847,-2.6394574532047,0.0771126805638308,-34.2285786709212,9.08719226906821e-257,1.31435041804784e-255
"PHJJKLOP_01833",1581.47401617397,3.04207702982127,0.0893441497639199,34.048978448612,4.20256405110436e-254,6.04926767740694e-253
"PHJJKLOP_02564",1174.10055140062,2.99524093468192,0.0883329340225291,33.9085412233447,4.98549829054227e-252,7.14190520664286e-251
"PHJJKLOP_00121",3108.1718918051,-2.10362588163662,0.0621056153727622,-33.8717500665683,1.73653134431734e-251,2.47579754518386e-250
