"","ERR1797969","ERR1797970","ERR1797971","ERR1797972","ERR1797973","ERR1797974"
"PHJJKLOP_01616",793.528722986855,789.029213216418,818.162117954173,357.765720952747,366.020483974341,333.944021109501
"PHJJKLOP_01617",72.7690095315457,74.0640688250705,80.0028146630547,69.1862462911164,60.7014168967347,55.4921815493533
"PHJJKLOP_01618",35.8069729440939,19.7504183533521,28.8010132786997,21.8482883024578,9.96590426662809,17.8367726408636
"PHJJKLOP_01619",12.7057000769365,14.8128137650141,19.2006755191331,12.7448348431004,25.3677563150533,17.8367726408636
"PHJJKLOP_01620",16.1708910070102,14.8128137650141,17.0672671281183,26.4000150321365,22.6497824241548,21.8004998943888
"PHJJKLOP_01621",132.832318986155,104.677217272766,99.2034901821879,88.303498555767,105.094990448078,79.2745450705047
"PHJJKLOP_01622",136.297509916228,114.552426449442,114.137348919291,88.303498555767,86.069173211788,103.056908591656
"PHJJKLOP_01623",204.446264874343,239.967582993228,245.341964966701,152.938018117205,141.334642326726,126.839272112808
"PHJJKLOP_01624",4895.15972055065,4746.02553031052,4746.83367000791,2883.0637105785,3070.40450541842,2796.40957736205
"PHJJKLOP_01625",3808.24483215089,3504.71173680234,3584.12609690485,3158.89835039703,3261.56866907828,3116.48055308422
"PHJJKLOP_01626",347.674156650718,412.78374358506,366.946243254544,69.1862462911164,67.9493472724643,91.1657268310804
"PHJJKLOP_01627",69.3038186014721,62.2138178130592,56.535322361892,80.1103904423454,65.2313733815657,84.2292041374113
"PHJJKLOP_01628",91.2500278252716,79.0016734134085,81.0695188585621,93.7655706313815,127.744772872233,114.948090352232
"PHJJKLOP_01629",5.77531821678934,7.90016734134085,6.40022517304438,9.10345345935743,14.495860751459,22.7914317077701
"PHJJKLOP_01630",149.003209993165,180.716327933172,150.405291566543,169.324234344048,177.574294205373,163.503749207916
"PHJJKLOP_01631",430.838738972485,410.808701749724,361.612722277007,340.469159379968,363.302510083442,365.653839137703
"PHJJKLOP_01632",368.46530223116,402.908534408384,372.279764232081,183.88975987902,193.882137550765,234.85083977137
"PHJJKLOP_01633",806.234423063792,854.20559378248,873.630736120558,514.345120453695,510.073100191965,494.474974877273
"PHJJKLOP_01635",1127.34211591728,1046.77217272766,1032.56966125116,3028.71896592822,3106.64415729707,2991.62314459817
